zip,lat,lng,city,state_id,state_name,,county_name,timezone
67491,38.38837,-97.90051,Windom,KS,Kansas,,McPherson,America/Chicago
67492,38.81558,-96.96418,Woodbine,KS,Kansas,,Dickinson,America/Chicago
67501,37.97989,-97.9309,Hutchinson,KS,Kansas,,Reno,America/Chicago
67502,38.12146,-97.92673,Hutchinson,KS,Kansas,,Reno,America/Chicago
67505,38.02855,-97.94333,South Hutchinson,KS,Kansas,,Reno,America/Chicago
67510,37.99839,-98.21127,Abbyville,KS,Kansas,,Reno,America/Chicago
67511,38.43365,-99.05058,Albert,KS,Kansas,,Rush,America/Chicago
67512,38.23289,-98.32645,Alden,KS,Kansas,,Rice,America/Chicago
67513,38.43892,-99.53846,Alexander,KS,Kansas,,Rush,America/Chicago
67514,37.86278,-98.19714,Arlington,KS,Kansas,,Reno,America/Chicago
67515,38.59935,-100.06518,Arnold,KS,Kansas,,Ness,America/Chicago
67516,38.38768,-99.68486,Bazine,KS,Kansas,,Ness,America/Chicago
67518,38.40403,-100.17343,Beeler,KS,Kansas,,Ness,America/Chicago
67519,37.93573,-99.10292,Belpre,KS,Kansas,,Edwards,America/Chicago
67520,38.58781,-99.18302,Bison,KS,Kansas,,Rush,America/Chicago
67521,38.62575,-99.72253,Brownell,KS,Kansas,,Ness,America/Chicago
67522,38.12294,-97.74608,Buhler,KS,Kansas,,Reno,America/Chicago
67523,38.19687,-99.55256,Burdett,KS,Kansas,,Pawnee,America/Chicago
67524,38.37797,-98.37398,Chase,KS,Kansas,,Rice,America/Chicago
67525,38.57205,-98.57111,Claflin,KS,Kansas,,Barton,America/Chicago
67526,38.29764,-98.54711,Ellinwood,KS,Kansas,,Barton,America/Chicago
67529,38.0728,-99.25436,Garfield,KS,Kansas,,Pawnee,America/Chicago
67530,38.35149,-98.79678,Great Bend,KS,Kansas,,Barton,America/Chicago
67543,37.88346,-97.79511,Haven,KS,Kansas,,Reno,America/Chicago
67544,38.57584,-98.75456,Hoisington,KS,Kansas,,Barton,America/Chicago
67545,38.17644,-98.6417,Hudson,KS,Kansas,,Stafford,America/Chicago
67546,38.22811,-97.82116,Inman,KS,Kansas,,McPherson,America/Chicago
67547,37.93926,-99.46526,Kinsley,KS,Kansas,,Edwards,America/Chicago
67548,38.59299,-99.33579,La Crosse,KS,Kansas,,Rush,America/Chicago
67550,38.18121,-99.12487,Larned,KS,Kansas,,Pawnee,America/Chicago
67552,37.8606,-99.23651,Lewis,KS,Kansas,,Edwards,America/Chicago
67553,38.65444,-99.32017,Liebenthal,KS,Kansas,,Rush,America/Chicago
67554,38.37489,-98.1858,Lyons,KS,Kansas,,Rice,America/Chicago
67556,38.60719,-99.52436,McCracken,KS,Kansas,,Rush,America/Chicago
67557,37.91557,-98.96678,Macksville,KS,Kansas,,Stafford,America/Chicago
67559,38.37645,-99.44966,Nekoma,KS,Kansas,,Rush,America/Chicago
67560,38.39781,-99.94818,Ness City,KS,Kansas,,Ness,America/Chicago
67561,38.10427,-98.09921,Nickerson,KS,Kansas,,Reno,America/Chicago
67563,37.84627,-99.55931,Offerle,KS,Kansas,,Edwards,America/Chicago
67564,38.52855,-98.92845,Olmitz,KS,Kansas,,Barton,America/Chicago
67565,38.60428,-99.04439,Otis,KS,Kansas,,Rush,America/Chicago
67566,37.944,-98.09938,Partridge,KS,Kansas,,Reno,America/Chicago
67567,38.26632,-98.97241,Pawnee Rock,KS,Kansas,,Pawnee,America/Chicago
67568,38.01729,-98.30888,Plevna,KS,Kansas,,Reno,America/Chicago
67570,37.78686,-97.968,Pretty Prairie,KS,Kansas,,Reno,America/Chicago
67572,38.68663,-99.90825,Ransom,KS,Kansas,,Ness,America/Chicago
67573,38.26215,-98.41518,Raymond,KS,Kansas,,Rice,America/Chicago
67574,38.22045,-99.39185,Rozel,KS,Kansas,,Pawnee,America/Chicago
67575,38.40711,-99.25681,Rush Center,KS,Kansas,,Rush,America/Chicago
67576,38.03228,-98.79343,St John,KS,Kansas,,Stafford,America/Chicago
67578,37.96922,-98.59105,Stafford,KS,Kansas,,Stafford,America/Chicago
67579,38.18615,-98.20861,Sterling,KS,Kansas,,Rice,America/Chicago
67581,37.99316,-98.41068,Sylvia,KS,Kansas,,Reno,America/Chicago
67583,37.79997,-98.4714,Turon,KS,Kansas,,Reno,America/Chicago
67584,38.6847,-100.16072,Utica,KS,Kansas,,Ness,America/Chicago
67601,38.873,-99.34032,Hays,KS,Kansas,,Ellis,America/Chicago
67621,39.82866,-99.12891,Agra,KS,Kansas,,Phillips,America/Chicago
67622,39.89983,-99.72522,Almena,KS,Kansas,,Norton,America/Chicago
67623,39.45363,-98.95627,Alton,KS,Kansas,,Osborne,America/Chicago
67625,39.39145,-99.68293,Bogue,KS,Kansas,,Graham,America/Chicago
67626,38.88375,-98.70808,Bunker Hill,KS,Kansas,,Russell,America/Chicago
67627,38.92224,-99.21343,Catharine,KS,Kansas,,Ellis,America/Chicago
67628,39.62741,-98.99598,Cedar,KS,Kansas,,Smith,America/Chicago
67629,39.70199,-100.18031,Clayton,KS,Kansas,,Norton,America/Chicago
67631,39.00837,-100.08569,Collyer,KS,Kansas,,Trego,America/Chicago
67632,39.33557,-99.58362,Damar,KS,Kansas,,Rooks,America/Chicago
67634,38.82654,-98.6073,Dorrance,KS,Kansas,,Russell,America/Chicago
67635,39.60025,-100.45484,Dresden,KS,Kansas,,Decatur,America/Chicago
67637,38.94008,-99.59197,Ellis,KS,Kansas,,Ellis,America/Chicago
67638,39.63418,-98.8534,Gaylord,KS,Kansas,,Smith,America/Chicago
67639,39.62649,-99.32133,Glade,KS,Kansas,,Phillips,America/Chicago
67640,38.89853,-99.04925,Gorham,KS,Kansas,,Ellis,America/Chicago
67642,39.36989,-99.8315,Hill City,KS,Kansas,,Graham,America/Chicago
67643,39.6406,-100.29135,Jennings,KS,Kansas,,Decatur,America/Chicago
67644,39.63104,-99.15993,Kirwin,KS,Kansas,,Phillips,America/Chicago
67645,39.60144,-99.89604,Lenora,KS,Kansas,,Norton,America/Chicago
67646,39.63921,-99.58654,Logan,KS,Kansas,,Phillips,America/Chicago
67647,39.93794,-99.53162,Long Island,KS,Kansas,,Phillips,America/Chicago
67648,39.07746,-98.57278,Lucas,KS,Kansas,,Russell,America/Chicago
67649,39.13404,-98.69232,Luray,KS,Kansas,,Russell,America/Chicago
67650,39.37477,-100.09925,Morland,KS,Kansas,,Graham,America/Chicago
67651,39.20926,-99.03969,Natoma,KS,Kansas,,Osborne,America/Chicago
67653,39.90873,-100.20554,Norcatur,KS,Kansas,,Decatur,America/Chicago
67654,39.83067,-99.95573,Norton,KS,Kansas,,Norton,America/Chicago
67656,38.98565,-99.75549,Ogallah,KS,Kansas,,Trego,America/Chicago
67657,39.21126,-99.60811,Palco,KS,Kansas,,Rooks,America/Chicago
67658,39.11524,-98.92786,Paradise,KS,Kansas,,Russell,America/Chicago
67659,39.31804,-100.00496,Penokee,KS,Kansas,,Graham,America/Chicago
67660,38.71752,-99.14806,Pfeifer,KS,Kansas,,Ellis,America/Chicago
